term	df	idf
lofthouse	2	7.945555
log	18	5.748331
loganberries	1	8.638703
logs	14	5.999645
loin	56	4.613351
lok	1	8.638703
lol	6	6.846943
lola	1	8.638703
lomo	1	8.638703
london	9	6.441478
long	239	3.162239
longer	296	2.948343
longhorn	2	7.945555
longish	1	8.638703
longitudinally	1	8.638703
longmeadow	1	8.638703
longways	2	7.945555
look	52	4.687459
looking	15	5.930652
looks	34	5.112342
loop	2	7.945555
loose	20	5.642970
loosed	1	8.638703
loosely	64	4.479820
loosen	54	4.649719
loosening	1	8.638703
loosens	1	8.638703
lopez	6	6.846943
lopsided	1	8.638703
loquat	1	8.638703
loquats	2	7.945555
lora	1	8.638703
loretta	1	8.638703
loriva	1	8.638703
lorraine	2	7.945555
loses	7	6.692792
loss	1	8.638703
lot	30	5.237505
lotion	1	8.638703
lots	22	5.547660
lotus	1	8.638703
louis	1	8.638703
louisiana	7	6.692792
louisville	1	8.638703
lousiana	1	8.638703
lovely	12	6.153796
lover	3	7.540090
lovers	3	7.540090
loves	1	8.638703
low	1246	1.511009
lowcarb	2	7.945555
lowenbrau	2	7.945555
lower	127	3.794516
lowers	1	8.638703
lowest	22	5.547660
lowfat	9	6.441478
lows	1	8.638703
lox	3	7.540090
lrg	2	7.945555
lthe	1	8.638703
luau	2	7.945555
lubricate	1	8.638703
lubricated	1	8.638703
luby	2	7.945555
luck	2	7.945555
lucky	1	8.638703
luke	3	7.540090
lukewarm	21	5.594180
lump	22	5.547660
lumpia	6	6.846943
lumpier	1	8.638703
lumping	2	7.945555
lumps	64	4.479820
lumpy	25	5.419827
lunch	8	6.559261
lunchboxes	1	8.638703
luncheon	3	7.540090
lunchmeat	1	8.638703
luscious	2	7.945555
lush	1	8.638703
lychee	2	7.945555
lychees	4	7.252408
lycium	1	8.638703
lying	1	8.638703
lynchburg	1	8.638703
lynn	1	8.638703
ma	1	8.638703
maargarine	1	8.638703
maaz	1	8.638703
mac	22	5.547660
macadamia	24	5.460649
macadamias	3	7.540090
macallan	2	7.945555
macaraghetti	1	8.638703
macaroni	158	3.576108
macaronil	1	8.638703
macaroon	1	8.638703
macaroons	4	7.252408
mace	18	5.748331
macerate	2	7.945555
macerating	1	8.638703
mach	1	8.638703
machaca	1	8.638703
mache	1	8.638703
machine	87	4.172794
macintosh	2	7.945555
mackay	1	8.638703
mackerel	2	7.945555
macrobiotic	1	8.638703
macs	1	8.638703
mad	1	8.638703
madame	1	8.638703
madeira	8	6.559261
madeleine	1	8.638703
madeleines	2	7.945555
madelines	1	8.638703
madras	1	8.638703
madzoonov	1	8.638703
mae	1	8.638703
mafia	1	8.638703
magarine	1	8.638703
magarita	1	8.638703
magazine	4	7.252408
magerine	1	8.638703
maggiano	1	8.638703
maggie	3	7.540090
maghreb	1	8.638703
magic	13	6.073753
magical	2	7.945555
magically	1	8.638703
maglione	1	8.638703
maha	1	8.638703
mahatmas	1	8.638703
mahi	16	5.866114
mahishi	1	8.638703
maid	1	8.638703
maida	1	8.638703
main	13	6.073753
maine	3	7.540090
maintain	17	5.805489
maintaining	1	8.638703
major	1	8.638703
majoram	1	8.638703
majority	2	7.945555
makeing	1	8.638703
maker	21	5.594180
makes	145	3.661969
makhani	1	8.638703
maki	1	8.638703
makinh	1	8.638703
makrut	1	8.638703
malai	1	8.638703
maleleine	1	8.638703
malibu	7	6.692792
malleable	1	8.638703
mallet	12	6.153796
mallow	2	7.945555
mallows	1	8.638703
malnutrition	2	7.945555
malt	11	6.240807
malted	3	7.540090
mama	3	7.540090
man	5	7.029265
manage	2	7.945555
manageable	3	7.540090
manchego	2	7.945555
mandarin	32	5.172967
mandaring	1	8.638703
mandarins	1	8.638703
mandlove	1	8.638703
mandolin	1	8.638703
mandoline	5	7.029265
mange	1	8.638703
mangetout	1	8.638703
mangia	1	8.638703
mango	86	4.184355
mangoes	26	5.380606
mangos	1	8.638703
manhattan	1	8.638703
manicotti	18	5.748331
manis	6	6.846943
manjuu	1	8.638703
manner	7	6.692792
mansaf	1	8.638703
mantecados	1	8.638703
manual	1	8.638703
manually	1	8.638703
manufacture	1	8.638703
manufacturer	30	5.237505
manufacturers	1	8.638703
manufactures	3	7.540090
manwich	3	7.540090
many	36	5.055184
manzanilla	1	8.638703
maoli	1	8.638703
maori	1	8.638703
maple	134	3.740863
maque	1	8.638703
marachino	1	8.638703
maranate	1	8.638703
maraschino	26	5.380606
marauchan	1	8.638703
marble	6	6.846943
marbled	5	7.029265
march	1	8.638703
marco	1	8.638703
marcos	1	8.638703
mardi	2	7.945555
mare	1	8.638703
marengo	1	8.638703
marg	1	8.638703
margarine	554	2.321538
margarita	13	6.073753
margaritas	2	7.945555
margherita	1	8.638703
maria	4	7.252408
marie	3	7.540090
marina	2	7.945555
marinade	176	3.468219
marinades	2	7.945555
marinara	24	5.460649
marinare	1	8.638703
marinate	120	3.851211
marinated	32	5.172967
marinates	1	8.638703
marinating	11	6.240807
marination	1	8.638703
marjoram	54	4.649719
marjoran	1	8.638703
mark	15	5.930652
market	6	6.846943
markets	3	7.540090
marks	4	7.252408
marlene	1	8.638703
marley	1	8.638703
marmalade	37	5.027785
marmalde	1	8.638703
marmite	2	7.945555
marna	1	8.638703
marnier	21	5.594180
marrow	2	7.945555
marry	1	8.638703
mars	1	8.638703
marsala	15	5.930652
marscapone	1	8.638703
marshall	1	8.638703
marshamllows	1	8.638703
marshmallow	28	5.306498
marshmallows	47	4.788555
martha	4	7.252408
martini	23	5.503208
martins	1	8.638703
marvel	1	8.638703
mary	4	7.252408
maryland	4	7.252408
masa	13	6.073753
masaa	1	8.638703
masala	31	5.204715
masaman	2	7.945555
masarepa	1	8.638703
mascarpone	37	5.027785
mascrpone	1	8.638703
maseca	1	8.638703
mash	145	3.661969
mashed	229	3.204981
masher	30	5.237505
mashing	9	6.441478
mashwiya	1	8.638703
mask	5	7.029265
mason	6	6.846943
masoor	2	7.945555
mass	5	7.029265
massage	7	6.692792
massaman	1	8.638703
masses	1	8.638703
master	2	7.945555
mastercook	1	8.638703
masterpiece	1	8.638703
mat	6	6.846943
matar	1	8.638703
match	4	7.252408
matcha	9	6.441478
matchstick	6	6.846943
matchsticks	4	7.252408
mate	2	7.945555
material	1	8.638703
materials	1	8.638703
mates	1	8.638703
matira	1	8.638703
mats	1	8.638703
matt	1	8.638703
mattar	1	8.638703
matte	1	8.638703
matter	12	6.153796
matters	2	7.945555
mature	2	7.945555
matzah	1	8.638703
matzo	4	7.252408
mau	1	8.638703
maui	2	7.945555
maximized	1	8.638703
maximum	5	7.029265
mayan	3	7.540090
mayans	1	8.638703
maybe	16	5.866114
mayer	1	8.638703
mayo	55	4.631369
mayonaise	6	6.846943
mayonaisse	1	8.638703
mayonnaise	326	2.851805
maytag	1	8.638703
mazaar	2	7.945555
mc	2	7.945555
mcbutter	1	8.638703
mccormick	12	6.153796
mccormicks	4	7.252408
mcdonald	1	8.638703
mcdonalds	2	7.945555
mcgriddle	1	8.638703
mckays	1	8.638703
mdeium	1	8.638703
mead	4	7.252408
meal	86	4.184355
meals	3	7.540090
mealy	1	8.638703
mean	9	6.441478
meaning	3	7.540090
means	5	7.029265
meant	2	7.945555
meantime	17	5.805489
meanwhile	256	3.093525
measugin	1	8.638703
measure	70	4.390207
measured	5	7.029265
measurement	1	8.638703
measurements	6	6.846943
measures	2	7.945555
measuring	59	4.561165
meat	551	2.326968
meatball	21	5.594180
meatballs	87	4.172794
meatless	4	7.252408
meatloaf	36	5.055184
meatloaves	2	7.945555
meats	22	5.547660
meaty	7	6.692792
med	121	3.842912
medalions	1	8.638703
medallions	7	6.692792
medim	1	8.638703
mediterranean	14	5.999645
medium	2362	0.871439
medley	7	6.692792
medoviya	1	8.638703
meduin	1	8.638703
meets	1	8.638703
megaddara	1	8.638703
mein	12	6.153796
melanzane	1	8.638703
melba	7	6.692792
meld	12	6.153796
melds	1	8.638703
mellow	5	7.029265
mellows	3	7.540090
melon	14	5.999645
melt	561	2.308982
meltaway	1	8.638703
meltaways	1	8.638703
melted	885	1.853115
melter	1	8.638703
melting	12	6.153796
meltingly	1	8.638703
melts	85	4.196051
membrane	11	6.240807
membranes	7	6.692792
men	1	8.638703
menthe	6	6.846943
mention	2	7.945555
mentioned	2	7.945555
menus	1	8.638703
mercedes	1	8.638703
merge	2	7.945555
merigue	1	8.638703
meringue	29	5.271407
meringues	1	8.638703
merkt	1	8.638703
merlot	8	6.559261
merry	2	7.945555
mesclun	2	7.945555
mesh	19	5.694264
mesquite	5	7.029265
mess	13	6.073753
messy	4	7.252408
metal	51	4.706877
metalic	1	8.638703
metallic	2	7.945555
meter	1	8.638703
methi	2	7.945555
method	32	5.172967
methods	1	8.638703
methold	1	8.638703
metled	1	8.638703
metric	1	8.638703
mex	7	6.692792
mexicali	1	8.638703
mexican	107	3.965874
mexicana	1	8.638703
mexicano	1	8.638703
mexico	6	6.846943
mexicorn	9	6.441478
meyer	5	7.029265
meze	1	8.638703
mg	5	7.029265
mi	2	7.945555
miami	1	8.638703
mian	1	8.638703
miao	1	8.638703
michael	2	7.945555
michele	1	8.638703
michoacan	2	7.945555
micro	4	7.252408
microbial	1	8.638703
microplane	1	8.638703
microproof	1	8.638703
microvave	1	8.638703
microwavable	23	5.503208
microwave	258	3.085743
microwaveable	10	6.336118
microwaved	2	7.945555
microwaves	1	8.638703
microwaving	5	7.029265
micrvavable	1	8.638703
mid	2	7.945555
middle	119	3.859579
middles	2	7.945555
midori	6	6.846943
midsection	1	8.638703
midway	1	8.638703
miel	1	8.638703
mighty	1	8.638703
mignon	4	7.252408
mike	2	7.945555
mil	1	8.638703
milano	1	8.638703
mild	73	4.348243
milder	4	7.252408
mildly	2	7.945555
milk	2184	0.949789
milks	3	7.540090
milky	5	7.029265
mill	9	6.441478
milled	5	7.029265
miller	2	7.945555
millet	10	6.336118
millimeters	2	7.945555
million	2	7.945555
milman	2	7.945555
mimi	1	8.638703
min	85	4.196051
mince	32	5.172967
minced	1064	1.668912
mincing	2	7.945555
mind	8	6.559261
mindful	1	8.638703
mine	50	4.726680
mineral	1	8.638703
minerals	1	8.638703
minestra	1	8.638703
minestrone	3	7.540090
mini	93	4.106103
miniature	27	5.342866
miniatures	1	8.638703
minicube	2	7.945555
minimal	1	8.638703
minimum	16	5.866114
minimums	1	8.638703
minis	1	8.638703
minites	1	8.638703
minnesota	1	8.638703
mins	59	4.561165
mint	122	3.834682
minted	2	7.945555
mintes	2	7.945555
mints	5	7.029265
mintues	2	7.945555
minty	1	8.638703
minues	5	7.029265
minus	3	7.540090
minute	632	2.189813
minuted	1	8.638703
minutes	3887	0.373310
minuts	1	8.638703
miracle	28	5.306498
miricle	1	8.638703
mirin	6	6.846943
mis	2	7.945555
miso	4	7.252408
miss	2	7.945555
missed	1	8.638703
missy	1	8.638703
mist	8	6.559261
misted	1	8.638703
mister	1	8.638703
misting	3	7.540090
misture	2	7.945555
mits	1	8.638703
mitt	2	7.945555
mitts	1	8.638703
miutes	2	7.945555
mix	2635	0.762064
mixed	273	3.029231
mixer	313	2.892499
mixers	2	7.945555
mixes	14	5.999645
mixing	424	2.588969
mixmaster	1	8.638703
mixtue	1	8.638703
mixtur	1	8.638703
mixture	2188	0.947959
mixtureand	1	8.638703
mixtured	1	8.638703
mixtures	8	6.559261
mixure	1	8.638703
mixutre	1	8.638703
ml	108	3.956571
mmm	1	8.638703
mmmm	2	7.945555
mmmmmm	1	8.638703
mmmmmmmm	1	8.638703
mninutes	1	8.638703
mnted	1	8.638703
mocha	16	5.866114
mochi	3	7.540090
mock	6	6.846943
mocrowave	1	8.638703
mod	3	7.540090
mode	2	7.945555
model	3	7.540090
modeling	2	7.945555
moderate	64	4.479820
moderately	42	4.901033
moderator	1	8.638703
modification	1	8.638703
modified	4	7.252408
moe	1	8.638703
mohney	1	8.638703
moist	87	4.172794
moisten	39	4.975141
moistened	65	4.464315
moistenend	1	8.638703
moistening	1	8.638703
moister	3	7.540090
moisture	24	5.460649
mojito	4	7.252408
mojo	4	7.252408
molas	1	8.638703
molasses	100	4.033532
mold	28	5.306498
moldable	1	8.638703
molded	1	8.638703
moldovan	1	8.638703
molds	9	6.441478
mole	7	6.692792
molly	1	8.638703
molten	2	7.945555
mom	24	5.460649
moment	7	6.692792
momma	1	8.638703
monde	4	7.252408
monger	1	8.638703
mongolian	2	7.945555
monica	1	8.638703
monitor	4	7.252408
monkfish	1	8.638703
mono	3	7.540090
monounsaturated	1	8.638703
monster	2	7.945555
monte	2	7.945555
monteray	1	8.638703
monterey	120	3.851211
monterrey	3	7.540090
month	22	5.547660
months	44	4.854513
montreal	8	6.559261
mood	1	8.638703
moon	5	7.029265
moong	1	8.638703
moons	5	7.029265
moonshine	1	8.638703
moore	1	8.638703
moosewood	1	8.638703
mop	1	8.638703
moravian	1	8.638703
more	905	1.830768
morels	1	8.638703
mores	1	8.638703
morgan	2	7.945555
morjaram	1	8.638703
mormon	1	8.638703
mornay	2	7.945555
morning	25	5.419827
morningstar	1	8.638703
moroccan	18	5.748331
morocco	1	8.638703
morsel	2	7.945555
morsels	13	6.073753
mortar	15	5.930652
morton	3	7.540090
mos	1	8.638703
most	75	4.321214
mostaccioli	11	6.240807
mostly	16	5.866114
mother	4	7.252408
mothers	1	8.638703
motion	4	7.252408
motions	1	8.638703
motor	9	6.441478
mould	5	7.029265
moulds	5	7.029265
mouli	1	8.638703
mound	23	5.503208
mounded	2	7.945555
mounding	4	7.252408
mounds	14	5.999645
mount	1	8.638703
mountain	3	7.540090
mountains	1	8.638703
moussaka	11	6.240807
mousse	14	5.999645
mousseline	1	8.638703
mouth	12	6.153796
mouths	2	7.945555
movements	1	8.638703
mozambican	1	8.638703
mozza	1	8.638703
mozzarella	228	3.209357
mozzarlla	1	8.638703
mozzeralla	3	7.540090
mozzerella	5	7.029265
mpour	1	8.638703
mr	2	7.945555
mrs	19	5.694264
ms	2	7.945555
msabbha	1	8.638703
msg	10	6.336118
msh	1	8.638703
mtabal	1	8.638703
much	164	3.538836
mud	1	8.638703
mudammas	1	8.638703
muddle	4	7.252408
muddler	1	8.638703
muenster	4	7.252408
muffin	166	3.526715
muffing	2	7.945555
muffins	139	3.704229
mug	23	5.503208
mugs	5	7.029265
mui	2	7.945555
mulled	1	8.638703
mulligatawnski	1	8.638703
mulligatawny	1	8.638703
multi	7	6.692792
multigrain	9	6.441478
multiple	2	7.945555
multiplying	1	8.638703
multiseed	1	8.638703
multiseeded	1	8.638703
mum	3	7.540090
mung	6	6.846943
murg	1	8.638703
murghi	1	8.638703
muscles	3	7.540090
muscovado	1	8.638703
mush	7	6.692792
mushed	2	7.945555
mushroom	354	2.769406
mushrooms	577	2.280860
mushy	30	5.237505
musketeers	1	8.638703
muslin	4	7.252408
mussels	14	5.999645
mussoorie	1	8.638703
mustard	633	2.188232
mustards	1	8.638703
mustars	1	8.638703
muster	1	8.638703
mutt	1	8.638703
mutton	3	7.540090
myself	1	8.638703
mystique	1	8.638703
naan	5	7.029265
naans	1	8.638703
nabisco	2	7.945555
nacho	12	6.153796
nachos	3	7.540090
nadru	1	8.638703
nads	1	8.638703
nail	1	8.638703
nailed	1	8.638703
nails	1	8.638703
nalley	1	8.638703
nam	4	7.252408
name	1	8.638703
names	1	8.638703
nan	2	7.945555
nanaimo	1	8.638703
nanas	1	8.638703
nanna	1	8.638703
nannie	1	8.638703
nantais	1	8.638703
napa	7	6.692792
napkin	2	7.945555
napkins	4	7.252408
napolitano	1	8.638703
naranja	1	8.638703
narrow	8	6.559261
narsai	1	8.638703
nashi	3	7.540090
nata	1	8.638703
natif	1	8.638703
nation	1	8.638703
natural	33	5.142195
naturally	6	6.846943
naturals	1	8.638703
nature	5	7.029265
naughty	1	8.638703
navajo	1	8.638703
navel	3	7.540090
navy	11	6.240807
nawlins	1	8.638703
nazook	1	8.638703
nb	2	7.945555
nd	1	8.638703
near	32	5.172967
nearby	3	7.540090
nearer	1	8.638703
nearly	20	5.642970
neat	9	6.441478
neatly	1	8.638703
neccessary	3	7.540090
necessary	147	3.648270
neck	5	7.029265
necked	1	8.638703
necks	1	8.638703
nectar	27	5.342866
nectarine	1	8.638703
nectarines	2	7.945555
nectars	1	8.638703
needed	255	3.097439
needle	3	7.540090
needles	2	7.945555
needs	26	5.380606
negros	1	8.638703
neighbour	1	8.638703
neither	2	7.945555
nemesis	1	8.638703
ness	1	8.638703
nest	8	6.559261
nestl	1	8.638703
nestles	1	8.638703
nestling	1	8.638703
nestly	1	8.638703
nests	5	7.029265
net	1	8.638703
network	1	8.638703
neufchatel	12	6.153796
neutral	3	7.540090
neutralize	1	8.638703
never	24	5.460649
new	64	4.479820
newly	1	8.638703
newman	1	8.638703
newmans	1	8.638703
news	1	8.638703
newtown	1	8.638703
next	171	3.497039
nibbles	1	8.638703
nibbling	1	8.638703
niblets	1	8.638703
nice	83	4.219862
nicely	35	5.083355
nicer	2	7.945555
nick	2	7.945555
nickel	1	8.638703
nicks	1	8.638703
nicoise	3	7.540090
nicola	1	8.638703
nif	3	7.540090
nifty	1	8.638703
nigella	6	6.846943
night	27	5.342866
niku	1	8.638703
nine	2	7.945555
nineteenth	1	8.638703
ninety	1	8.638703
ninstick	1	8.638703
nip	1	8.638703
niter	2	7.945555
no	360	2.752599
noddles	1	8.638703
nog	2	7.945555
noir	2	7.945555
noise	1	8.638703
noises	1	8.638703
non	202	3.330435
nonaluminum	1	8.638703
nondairy	1	8.638703
none	5	7.029265
nonfat	73	4.348243
noniodized	1	8.638703
nonmetallic	1	8.638703
nonporous	1	8.638703
nonreactive	8	6.559261
nonstick	231	3.196285
nonsticky	1	8.638703
noodle	45	4.832040
noodles	285	2.986213
nor	3	7.540090
nori	3	7.540090
normal	8	6.559261
normally	2	7.945555
north	1	8.638703
northern	15	5.930652
norwegian	4	7.252408
nos	1	8.638703
nose	2	7.945555
noses	1	8.638703
nostrils	1	8.638703
not	989	1.742008
notch	1	8.638703
note	252	3.109274
noted	2	7.945555
notes	17	5.805489
nothing	5	7.029265
noticably	1	8.638703
noticed	2	7.945555
notorious	1	8.638703
nottingham	1	8.638703
novice	1	8.638703
now	111	3.929172
nowell	1	8.638703
nozzle	2	7.945555
ntil	1	8.638703
nu	1	8.638703
nubby	1	8.638703
nuggets	3	7.540090
nuke	4	7.252408
nuked	1	8.638703
number	11	6.240807
numbing	1	8.638703
nuoc	2	7.945555
nut	55	4.631369
nutella	5	7.029265
nutmeats	2	7.945555
nutmeg	448	2.533909
nutmegs	1	8.638703
nutri	1	8.638703
nutrition	6	6.846943
nutritional	27	5.342866
nuts	336	2.821591
nutty	4	7.252408
nuwave	3	7.540090
ny	1	8.638703
nylon	1	8.638703
nytimes	1	8.638703
oakleaf	1	8.638703
oamc	18	5.748331
oat	16	5.866114
oatcakes	2	7.945555
oatmeal	124	3.818421
oats	187	3.407594
oaxacan	2	7.945555
obedient	1	8.638703
object	2	7.945555
oblong	5	7.029265
oblongs	1	8.638703
obrien	1	8.638703
obtain	1	8.638703
obtained	3	7.540090
obtaining	1	8.638703
obtrusive	1	8.638703
obvious	1	8.638703
oc	1	8.638703
ocaisionally	1	8.638703
ocasionally	1	8.638703
ocassionally	2	7.945555
occasion	2	7.945555
occasional	1	8.638703
occasionally	357	2.760967
occasionaly	1	8.638703
occasions	1	8.638703
occasionsally	1	8.638703
occassionally	2	7.945555
occur	1	8.638703
occurs	1	8.638703
ocean	1	8.638703
october	1	8.638703
oelek	4	7.252408
oeuvres	2	7.945555
ofer	1	8.638703
off	472	2.481724
offensive	1	8.638703
offers	1	8.638703
official	2	7.945555
offset	4	7.252408
often	122	3.834682
og	1	8.638703
oh	5	7.029265
oi	1	8.638703
oil	3634	0.440613
oiland	1	8.638703
oilcloth	1	8.638703
oiled	52	4.687459
oiling	1	8.638703
oils	16	5.866114
oily	2	7.945555
oj	1	8.638703
ok	15	5.930652
okara	5	7.029265
okay	15	5.930652
okayu	2	7.945555
oklahoma	1	8.638703
oklek	1	8.638703
okra	18	5.748331
old	86	4.184355
older	1	8.638703
olekek	1	8.638703
oleo	3	7.540090
olga	1	8.638703
oli	1	8.638703
olice	1	8.638703
olio	3	7.540090
oliva	1	8.638703
olive	1379	1.409589
oliver	2	7.945555
olives	201	3.335398
olivier	1	8.638703
oma	1	8.638703
omega	1	8.638703
omelet	10	6.336118
omelete	1	8.638703
omelets	3	7.540090
omelette	5	7.029265
omit	25	5.419827
omitted	4	7.252408
omitting	8	6.559261
ompletely	1	8.638703
once	367	2.733341
one	729	2.047029
ones	31	5.204715
onio	1	8.638703
onion	2730	0.726646
onions	1147	1.593797
only	153	3.608265
onons	1	8.638703
onto	492	2.440224
ontop	5	7.029265
onwards	1	8.638703
oodle	1	8.638703
ooey	2	7.945555
ooze	1	8.638703
oozes	1	8.638703
op	1	8.638703
opaque	33	5.142195
opener	1	8.638703
openings	1	8.638703
operate	1	8.638703
operating	1	8.638703
opportunity	1	8.638703
opposed	2	7.945555
opposing	1	8.638703
opposite	15	5.930652
opt	3	7.540090
optimal	2	7.945555
optimum	1	8.638703
option	10	6.336118
optional	747	2.022637
optionally	3	7.540090
options	7	6.692792
orange	471	2.483845
oranges	56	4.613351
orcadian	1	8.638703
ord	1	8.638703
order	62	4.511568
ordered	1	8.638703
orderly	1	8.638703
ordinary	3	7.540090
ore	1	8.638703
orecchiette	3	7.540090
oreganato	1	8.638703
oregano	406	2.632349
oregon	1	8.638703
oreo	19	5.694264
oreos	3	7.540090
organic	20	5.642970
oriental	7	6.692792
oriented	1	8.638703
origin	1	8.638703
original	56	4.613351
originally	1	8.638703
originals	1	8.638703
originated	1	8.638703
orignal	1	8.638703
orignial	1	8.638703
orleans	4	7.252408
ornage	1	8.638703
ornament	1	8.638703
ornaments	1	8.638703
ortega	3	7.540090
orzo	35	5.083355
os	1	8.638703
osaka	2	7.945555
oscar	1	8.638703
osso	2	7.945555
ot	2	7.945555
other	409	2.624987
others	11	6.240807
otherwise	24	5.460649
ottawa	1	8.638703
ounce	1750	1.171332
ounces	1120	1.617619
oup	1	8.638703
ours	4	7.252408
out	880	1.858781
outback	5	7.029265
outcome	1	8.638703
outdoor	3	7.540090
outdoors	1	8.638703
outer	23	5.503208
outermost	1	8.638703
outs	1	8.638703
outside	44	4.854513
outsides	4	7.252408
outta	1	8.638703
outward	2	7.945555
ouzo	3	7.540090
oval	15	5.930652
ovals	1	8.638703
ove	1	8.638703
oven	1943	1.066714
ovenite	1	8.638703
ovenproof	44	4.854513
ovens	6	6.846943
over	2783	0.707418
overall	2	7.945555
overbake	10	6.336118
overbaking	1	8.638703
overbeat	12	6.153796
overbeating	2	7.945555
overblend	1	8.638703
overbrown	1	8.638703
overbrowning	4	7.252408
overcook	22	5.547660
overcooked	2	7.945555
overdo	4	7.252408
overdone	2	7.945555
overdue	1	8.638703
overfill	6	6.846943
overflow	2	7.945555
overhand	1	8.638703
overhang	7	6.692792
overhanging	2	7.945555
overhangs	1	8.638703
overheat	3	7.540090
overlap	8	6.559261
overlapping	22	5.547660
overlaying	1	8.638703
overload	1	8.638703
overlooked	1	8.638703
overly	4	7.252408
overmix	20	5.642970
overnight	235	3.179117
overnite	2	7.945555
overnproof	1	8.638703
overpower	1	8.638703
overpowering	1	8.638703
overprocess	1	8.638703
overripe	2	7.945555
overs	3	7.540090
overstir	1	8.638703
overstuff	1	8.638703
overstuffed	1	8.638703
overtly	1	8.638703
overtones	1	8.638703
overwork	7	6.692792
owl	2	7.945555
own	51	4.706877
ox	1	8.638703
oxo	3	7.540090
oxtail	2	7.945555
oxtails	1	8.638703
oyster	46	4.810061
oysters	21	5.594180
oz	111	3.929172
ozenzai	1	8.638703
ozs	1	8.638703
pa	3	7.540090
pace	5	7.029265
pack	40	4.949823
package	729	2.047029
packaged	15	5.930652
packages	145	3.661969
packaging	3	7.540090
packed	282	2.996796
packet	72	4.362036
packets	33	5.142195
packing	3	7.540090
packs	4	7.252408
pad	3	7.540090
paddle	20	5.642970
paella	6	6.846943
pagachi	2	7.945555
page	2	7.945555
pagliacci	1	8.638703
pail	1	8.638703
pain	1	8.638703
paint	5	7.029265
painting	1	8.638703
paints	2	7.945555
pair	3	7.540090
pairing	1	8.638703
pairs	1	8.638703
paisley	1	8.638703
paked	1	8.638703
pakistani	1	8.638703
palak	3	7.540090
palate	1	8.638703
pale	38	5.001116
paleo	1	8.638703
palette	1	8.638703
palm	24	5.460649
palmfulls	1	8.638703
palms	14	5.999645
pam	50	4.726680
pamela	1	8.638703
pammed	1	8.638703
pampered	2	7.945555
pan	1853	1.114141
pana	1	8.638703
pancake	52	4.687459
pancakes	86	4.184355
pancetta	23	5.503208
pand	2	7.945555
panda	1	8.638703
pane	1	8.638703
paneer	7	6.692792
panera	7	6.692792
panettone	1	8.638703
panic	2	7.945555
panini	3	7.540090
panir	1	8.638703
pankake	1	8.638703
panko	21	5.594180
panm	1	8.638703
panna	4	7.252408
panner	1	8.638703
pans	141	3.689943
pantry	4	7.252408
panzanella	1	8.638703
pao	3	7.540090
papa	1	8.638703
papadoris	1	8.638703
papaya	15	5.930652
papayas	2	7.945555
paper	481	2.462835
papered	1	8.638703
papers	10	6.336118
papertowel	1	8.638703
papertowels	1	8.638703
papery	3	7.540090
papri	1	8.638703
paprika	399	2.649741
paprikash	3	7.540090
papris	1	8.638703
papter	1	8.638703
paptrika	1	8.638703
par	5	7.029265
para	1	8.638703
paradise	3	7.540090
paradiso	1	8.638703
parallel	3	7.540090
parboil	8	6.559261
parboiled	3	7.540090
parcels	1	8.638703
parchemin	1	8.638703
parchment	126	3.802421
parcook	1	8.638703
pare	2	7.945555
pared	6	6.846943
paremesan	2	7.945555
paresseux	1	8.638703
parfait	1	8.638703
paring	9	6.441478
paris	2	7.945555
parkay	2	7.945555
parker	1	8.638703
parley	1	8.638703
parm	2	7.945555
parmalat	1	8.638703
parmasan	2	7.945555
parmasian	1	8.638703
parmesan	656	2.152542
parmesian	4	7.252408
parmigiana	2	7.945555
parmigiano	34	5.112342
parmisian	1	8.638703
parprika	1	8.638703
parrilla	1	8.638703
parrish	1	8.638703
parsley	905	1.830768
parsnip	12	6.153796
parsnips	23	5.503208
part	83	4.219862
partial	1	8.638703
partially	33	5.142195
particles	2	7.945555
particular	3	7.540090
particularly	1	8.638703
parting	1	8.638703
partly	8	6.559261
parton	2	7.945555
parts	61	4.527829
partway	1	8.638703
party	7	6.692792
pasilla	2	7.945555
paso	2	7.945555
passata	1	8.638703
passes	2	7.945555
passion	2	7.945555
passionfruit	1	8.638703
passive	1	8.638703
passover	1	8.638703
past	4	7.252408
pasta	466	2.494517
paste	371	2.722501
pasteis	1	8.638703
pastel	1	8.638703
pastes	2	7.945555
pasteurize	1	8.638703
pasteurized	2	7.945555
pasticcio	1	8.638703
pastiera	1	8.638703
pasties	1	8.638703
pastina	3	7.540090
pastitisio	1	8.638703
pastitsio	3	7.540090
pastourma	2	7.945555
pastrami	8	6.559261
pastries	3	7.540090
pastry	195	3.365703
pasty	8	6.559261
pat	167	3.520709
patatas	1	8.638703
pate	13	6.073753
patele	1	8.638703
pateles	1	8.638703
patience	1	8.638703
patient	2	7.945555
pato	3	7.540090
patrick	1	8.638703
patriotic	1	8.638703
patron	2	7.945555
pats	6	6.846943
patted	17	5.805489
pattern	11	6.240807
patti	1	8.638703
pattie	1	8.638703
patties	68	4.419195
patting	9	6.441478
pattrn	1	8.638703
patty	15	5.930652
paul	3	7.540090
paula	12	6.153796
pausing	1	8.638703
pb	2	7.945555
pbbj	1	8.638703
pc	2	7.945555
pcs	2	7.945555
pea	45	4.832040
peach	63	4.495568
peaches	68	4.419195
peachy	2	7.945555
peak	3	7.540090
peaks	81	4.244253
peal	1	8.638703
pealed	4	7.252408
peanut	345	2.795158
peanuts	104	3.994312
