surface	wiki_title	type
Gujhia	Gujhia	dish
Gujia	Gujhia	dish
Gujiya	Gujhia	dish
Guk	Guk	dish
Guk (dish)	Guk	dish
Guk (food)	Guk	dish
Guk (soup)	Guk	dish
Gukbap	Gukbap	dish
Gukhwa-ppang	Gukhwa-ppang	dish
Gukhwappang	Gukhwa-ppang	dish
Guksu bibim	Bibim-guksu	dish
Gul-gukbap	Gul-gukbap	dish
Gulai	Gulai	ingredient
Gulai Ayam	Gulai	ingredient
Gulai ayam	Gulai	ingredient
Gulai banak	Gulai	ingredient
Gulai kambing	Gulai	ingredient
Gulai otak	Gulai	ingredient
Gulaman	Gulaman	dish
Gulaman at sago	Samalamig	ingredient
Gulaorou	Sweet and sour	condiment
Gulaoròu	Sweet and sour	condiment
Gulas	Goulash	dish
Gulasch	Goulash	dish
Gulash	Goulash	dish
Gulash / Gulyás / Gulaš	Goulash	dish
Gulash soup	Gulyásleves	dish
Gulasz segedyński	Székelykáposzta	ingredient
Gulay na santol	Sinantolan	ingredient
Gulayon na santol	Sinantolan	ingredient
Gulaš	Goulash	dish
Gulden's	Gulden's	condiment
Gulf cuisine	Eastern Arabian cuisine	cuisine
Gulgukbap	Gul-gukbap	dish
Gulgula (doughnut)	Gulgula (doughnut)	dish
Gulgula sweet	Gulgula (doughnut)	dish
Gulha	Gulha	dish
Gulhoe	Hoe (food)	dish
Guljeot	Guljeot	dish
Gulkand	Gulkand	condiment
Gulkhand	Gulkand	condiment
Gullac	Güllaç	dish
Gulmandu	Mandu (food)	dish
Gulqand	Gulkand	condiment
Guluria	Gorgoria	ingredient
Gulurou	Sweet and sour pork	dish
Gulyasleves	Gulyásleves	dish
Gulyásleves	Gulyásleves	dish
Guláš	Goulash	dish
Gum Drop	Gumdrop	ingredient
Gum Drops	Gumdrop	ingredient
Gum dragon	Tragacanth	ingredient
Gum drop	Gumdrop	ingredient
Gum drops	Gumdrop	ingredient
Gum mastic	Mastic (plant resin)	ingredient
Gum tragacanth	Tragacanth	ingredient
Gumbo	Gumbo	dish
Gumbo file	Filé powder	dish
Gumbo filet	Filé powder	dish
Gumbo filé	Filé powder	dish
Gumdrop	Gumdrop	ingredient
Gumdrops	Gumdrop	ingredient
Gun-goguma	Roasted sweet potato	dish
Gun-mandu	Mandu (food)	dish
Gundain	Gundain	dish
Gundruk	Gundruk	dish
Gunfire (drink)	Gunfire (drink)	ingredient
Gungoguma	Roasted sweet potato	dish
Gunkanmaki	Sushi	dish
Gunpowder Rum	Rum	ingredient
Guo Bao Rou	Sweet and sour	condiment
Guo bian hu	Diāng-biĕng-gù	dish
Guo qiao mi xian	Crossing-the-bridge noodles	dish
Guoba Cuisine	Guoba Cuisine	dish
Guobacai	Guoba Cuisine	dish
Guokui	Guokui	dish
Guoqiao Mixian	Crossing-the-bridge noodles	dish
Guotie (dumpling)	Jiaozi	dish
Gup chup	Panipuri	dish
Gupchup	Panipuri	dish
Gur (sugar)	Jaggery	dish
Gurabije	Qurabiya	dish
Gurasa	Gurasa	dish
Gurguria	Mera Pitha	dish
Gurgurya	Gorgoria	ingredient
Guri guri	Tasaka Guri-Guri	dish
Guror Sandesh	Handesh	dish
Guru ka Langar	Langar (Sikhism)	dish
Gurubu	Karuka	ingredient
Gurze	Gürzə	ingredient
Gusavus Adolphus pastry	Gustavus Adolphus pastry	dish
Gushers	Fruit Gushers	dish
Gushtaba	Goshtaab	dish
Gusku	Couscous	dish
Gustaf Adolfs-bakelse	Gustavus Adolphus pastry	dish
Gustav Adolfs-bakelse	Gustavus Adolphus pastry	dish
Gustav Adolfsbakelse	Gustavus Adolphus pastry	dish
Gustav Adolph Pastry	Gustavus Adolphus pastry	dish
Gustavus Adolfus Pastry	Gustavus Adolphus pastry	dish
Gustavus Adolphus Pastry	Gustavus Adolphus pastry	dish
Gustavus Adolphus pastry	Gustavus Adolphus pastry	dish
Guthuk	Guthuk	dish
Guvec	Güveç	ingredient
Guvec (dish)	Güveç	ingredient
Guvech	Güveç	ingredient
Guyduck	Geoduck	dish
Guyuria	Guyuria	dish
Guzvara	Gibanica	dish
Guàbāo	Koah-pau	dish
Guīlínggāo	Guilinggao	dish
Guō Bāo Ròu	Sweet and sour	condiment
Guō fàn	Kamameshi	dish
Guōbāoròu	Sweet and sour	condiment
Gužvara	Gibanica	dish
Gwaha-ju	Gwaha-ju	ingredient
Gwajul	Yakgwa	dish
Gwakbap	Dosirak	ingredient
Gwaltney of Smithfield	Smithfield Packing Company	dish
Gwamegi	Gwamegi	dish
Gwapyeon	Gwapyeon	dish
Gwaramari	Gwaramari	dish
Gweduc	Geoduck	dish
Gweduck	Geoduck	dish
Gwumpki	Gołąbki	dish
Gyabrag	Gyabrag	dish
Gyaho	Gyaho	ingredient
Gyathuk	Thukpa	dish
Gyatog	Gyatog	dish
Gyeongdan	Gyeongdan	dish
Gyeongju bread	Hwangnam-ppang	dish
Gyeran jjim	Gyeran-jjim	dish
Gyeran-jjim	Gyeran-jjim	dish
Gyeran-mari	Gyeran-mari	dish
Gyeran-ppang	Gyeran-ppang	dish
Gyeranjjim	Gyeran-jjim	dish
Gyeranmari	Gyeran-mari	dish
Gyeranppang	Gyeran-ppang	dish
Gyesamchae	Japchae	dish
Gyooza	Jiaozi	dish
Gyouza	Jiaozi	dish
Gyoza	Jiaozi	dish
Gyozi	Jiaozi	dish
Gypsy John	Rigójancsi	dish
Gypsy eggs	Shakshouka	dish
Gypsy ham	Black Forest ham	ingredient
Gypsy sauce	À la zingara	ingredient
Gyro	Gyros	dish
Gyro (food)	Gyros	dish
Gyro (sandwich)	Gyros	dish
Gyro Cones	Gyros	dish
Gyro cones	Gyros	dish
Gyros	Gyros	dish
Gyros (food)	Gyros	dish
Gyu-don	Gyūdon	dish
Gyudon	Gyūdon	dish
Gyuhi	Gyūhi	ingredient
Gyukatsu	Tonkatsu	dish
Gyunabe	Sukiyaki	dish
Gyuoza	Jiaozi	dish
Gyutan	Gyūtan	dish
Gyuudon	Gyūdon	dish
Gyuuhi	Gyūhi	ingredient
Gyuvech	Ghivetch	dish
Gyuveche	Güveç	ingredient
Gyuvetch	Ghivetch	dish
Gyôza	Jiaozi	dish
Györöki lapos	Fig	dish
Gyōza	Jiaozi	dish
Gyū-katsu	Tonkatsu	dish
Gyūdon	Gyūdon	dish
Gyūhi	Gyūhi	ingredient
Gyūmeshi	Gyūdon	dish
Gyūnabe	Sukiyaki	dish
Gyūtan	Gyūtan	dish
Gà Kho	Kho (cooking technique)	dish
Gà Kho Gừng	Kho (cooking technique)	dish
Gà kho	Kho (cooking technique)	dish
Gà kho gừng	Kho (cooking technique)	dish
Gà nướng sả	Gà nướng sả	dish
Gàifàn	Gaifan	dish
Gábor Szetey	Gábor Szetey	dish
Gáron	Garum	dish
Gâche	Guernsey Gâche	dish
Gâteau	Cake	dish
Gâteau Basque	Gâteau Basque	dish
Gâteau Pithiviers	Pithivier	dish
Gâteau Saint Honoré	St. Honoré cake	dish
Gâteau Saint-Honoré	St. Honoré cake	dish
Gâteau St-Honoré	St. Honoré cake	dish
Gâteau de Sirop	Gâteau de Sirop	dish
Gâteau de plomb	Gâteau de plomb	dish
Gâteau du voyageur	Gâteau nantais	dish
Gâteau magique	Gâteau magique	dish
Gâteau nantais	Gâteau nantais	dish
Gâteau à la broche	Šakotis	dish
Génoise	Genoise	dish
Génoise Cake	Genoise	dish
Génoise cake	Genoise	dish
Génoise sponge	Genoise	dish
Gô Pek-hok	Momofuku Ando	dish
Götterspeise	Götterspeise	dish
Gözleme	Gözleme	dish
Gü	Gü	dish
Güirila	Güirila	dish
Güisquil	Chayote	ingredient
Güllaç	Güllaç	dish
Gürzə	Gürzə	ingredient
Güveç	Güveç	ingredient
Güveç (cooking)	Güveç	ingredient
Güveç (dish)	Ghivetch	dish
Găluşcă	Borș de burechiușe	dish
Găluşti	Halušky	dish
Gălușcă	Borș de burechiușe	dish
Găluști	Halušky	dish
Gęsi smalec	Schmaltz	ingredient
Gōng Bǎo	Kung Pao chicken	dish
Gōngbăo jīdīng	Kung Pao chicken	dish
Gōyā chanpurū	Chanpurū	dish
Gǔlǎoròu	Sweet and sour	condiment
Gỏi	Nộm	dish
Gỏi cuốn	Gỏi cuốn	dish
H J Heinz Company	Heinz	dish
H. Elion	Heineken	ingredient
H. J. Heinz Co.	Heinz	dish
H. J. Heinz Company	Heinz	dish
H.J. Heinz Co.	Heinz	dish
H.J. Heinz Company	Heinz	dish
HAMBURGER	Hamburger	dish
HARIBO	Haribo	dish
HARIBO GmbH &amp; Co. KG	Haribo	dish
HJ Heinz Company	Heinz	dish
HJ Heinz USA	Heinz	dish
Haagsche Hopjes	Hopje	ingredient
Haakh	Collard (plant)	ingredient
Haandvo	Handvo	dish
Haasenfeffer	Hasenpfeffer	dish
Haasenpfeffer	Hasenpfeffer	dish
Habanada	Habanero	dish
Habanero	Habanero	dish
Habanero Chile	Habanero	dish
Habanero chile	Habanero	dish
Habanero chili	Habanero	dish
Habanero chilli	Habanero	dish
Habanero pepper	Habanero	dish
Habanero peppers	Habanero	dish
Habañero	Habanero	dish
Habañero pepper	Habanero	dish
Habbersett	Habbersett	ingredient
Habenaro	Habanero	dish
Habenero	Habanero	dish
Habenero Pepper	Habanero	dish
Habermus	Brenntar	dish
Habichuelas con dulce	Habichuelas con dulce	dish
Hablos	Halabos	dish
Hachee	Hachée	dish
Hachée	Hachée	dish
Hackepeter	Mett	dish
Haddekuche	Haddekuche	dish
Haddock as food	Cod as food	dish
Hadji Bey	Hadji Bey	dish
Hae jang guk	Haejang-guk	dish
Hae jang kuk	Haejang-guk	dish
Haejang-guk	Haejang-guk	dish
Haejangguk	Haejang-guk	dish
Haeju bibimbap	Bibimbap	dish
Haemsche	Eisbein	dish
Haemul pajeon	Pajeon	dish
Haemuljeon	Jeon (food)	dish
Haemulpajeon	Pajeon	dish
Haft Seen	Haft-sin	ingredient
Haft Sin	Haft-sin	ingredient
Haft Sīn	Haft-sin	ingredient
Haft seen	Haft-sin	ingredient
Haft sin	Haft-sin	ingredient
Haft sin table	Haft-sin	ingredient
Haft-Seen	Haft-sin	ingredient
Haft-Sin	Haft-sin	ingredient
Haft-seen	Haft-sin	ingredient
Haft-sin	Haft-sin	ingredient
Haftseen	Haft-sin	ingredient
Haftsin	Haft-sin	ingredient
Hagebuttenmark	Hagebuttenmark	dish
Hagelslag	Hagelslag	dish
Hagelslag (sprinkles)	Hagelslag	dish
Haggas	Haggis	dish
Haggis	Haggis	dish
Haggis Pudding	Haggis	dish
Haggis supper	Haggis	dish
Haggus	Haggis	dish
Hagidara	Karuka	ingredient
Hagis	Haggis	dish
Hagus	Haggis	dish
Hahngwa	Hangwa	ingredient
Hai dai	Kombu	condiment
Hai tai	Kombu	condiment
Hai-tai	Kombu	condiment
Haichu	Hi-Chew	dish
Haig &amp; Haig	Haig (whisky)	ingredient
Haig (whiskey)	Haig (whisky)	ingredient
Haig (whisky)	Haig (whisky)	ingredient
Haig whiskey	Haig (whisky)	ingredient
Haig whisky	Haig (whisky)	ingredient
Hainan Chicken Rice	Hainanese chicken rice	dish
Hainan chicken	Hainanese chicken rice	dish
Hainan chicken rice	Hainanese chicken rice	dish
Hainan chicken rice ball	Hainanese chicken rice	dish
Hainanese Chicken Rice	Hainanese chicken rice	dish
Hainanese Curry Rice	Hainanese curry rice	dish
Hainanese chicken rice	Hainanese chicken rice	dish
Hainanese curry rice	Hainanese curry rice	dish
Hairy buffalo	Punch (drink)	ingredient
Haitai Ice Cream	Binggrae	ingredient
Haitian kimchi	Pikliz	dish
Haitian slaw	Pikliz	dish
Haji Ali Mohammad	Pakola	ingredient
Haji Ali Muhammad	Pakola	ingredient
Hakarl	Hákarl	dish
Hakh	Collard (plant)	ingredient
Hakim Hafiz Abdul Majeed	Rooh Afza	dish
Hakka Noodles	Indian Chinese cuisine	cuisine
Hakka cuisine in India	Indian Chinese cuisine	cuisine
Hakka noodles	Indian Chinese cuisine	cuisine
Hakka stuffed tofu	Yong tau foo	dish
Halabos	Halabos	dish
Halabos na alimango	Halabos	dish
Halabos na alimasag	Halabos	dish
Halabos na curacha	Halabos	dish
Halabos na hipon	Halabos	dish
Halabos na sugpo	Halabos	dish
Halabos na ulang	Halabos	dish
Halabus	Halabos	dish
Haladets (dish)	Aspic	dish
Haladzets (dish)	Aspic	dish
Halal Snack Pack	Halal snack pack	dish
Halal snack pack	Halal snack pack	dish
Halapeno	Jalapeño	ingredient
Halava	Halva	dish
Halavah	Halva	dish
Halawet el Jibn	Halawet el Jibn	dish
Halbos	Halabos	dish
Halbus	Halabos	dish
Haleem	Haleem	dish
Haleem	Harees	dish
Halegh	Charoset	dish
Half &amp; half	Half and half	ingredient
Half and Half	Half and half	ingredient
Half and half	Half and half	ingredient
Half and half cookie	Black and white cookie	dish
Half cream	Cream	ingredient
Half shell	Oyster	dish
Half smoke	Half-smoke	ingredient
Half smokes	Half-smoke	ingredient
Half-and-half	Half and half	ingredient
Half-and-half cookie	Black and white cookie	dish
Half-moon cake cookie	Black and white cookie	dish
Half-moons	Black and white cookie	dish
Half-shell	Oyster	dish
Half-smoke	Half-smoke	ingredient
Halfsmoke	Half-smoke	ingredient
Halibut	Halibut	ingredient
Halifax Explosion (drink)	Rev (drink)	ingredient
Halifax donair	Donair	ingredient
Haliva	Haliva	dish
Hall's Beer Cheese	Hall's Beer Cheese	ingredient
Hallaca	Hallaca	dish
Hallacas	Hallaca	dish
Hallaquita	Humita	dish
Hallongrotta	Hallongrotta	dish
Halloom	Halloumi	ingredient
Halloumi	Halloumi	ingredient
Halloumi cheese	Halloumi	ingredient
Halloumopita	Hellimli	dish
Halloween doughnut	Doughnut	dish
Halloween kisses	Taffy (candy)	dish
Hallulla	Hallulla	dish
Halo Halo	Halo-halo	dish
Halo halo	Halo-halo	dish
Halo-halo	Halo-halo	dish
Halohalo	Halo-halo	dish
Haloumi	Halloumi	ingredient
Halua	Halva	dish
Haluhalo	Halo-halo	dish
Halumi	Halloumi	ingredient
Halupki	Gołąbki	dish
Halushka	Halušky	dish
Halushki	Halušky	dish
Halushky	Halušky	dish
Haluski	Halušky	dish
Halusky	Halušky	dish
Haluška	Halušky	dish
Halušky	Halušky	dish
Halva	Halva	dish
Halva Ice Cream	Halva	dish
Halva ice cream	Halva	dish
Halvah	Halva	dish
Halvah ice cream	Halva	dish
Halvas	Halva	dish
Halwa	Halva	dish
Halwo	Halva	dish
Ham	Ham	dish
Ham (Food)	Ham	dish
Ham (meat)	Ham	dish
Ham and egg	Ham and eggs	dish
Ham and egg bun	Ham and egg bun	dish
Ham and egg pie	Bacon and egg pie	dish
Ham and eggs	Ham and eggs	dish
Ham barbecue	Chipped chopped ham	dish
Ham burger	Hamburger	dish
Ham chim peng	Ham chim peng	dish
Ham steak	Steak	dish
Haman's ears	Hamantash	dish
Hamantasch	Hamantash	dish
Hamantaschen	Hamantash	dish
Hamantash	Hamantash	dish
Hamantashchen	Hamantash	dish
Hamantashen	Hamantash	dish
Hamberger	Hamburger	dish
Hamburger	Hamburger	dish
Hamburger (food)	Hamburger	dish
Hamburger Helper	Hamburger Helper	dish
Hamburger bun	Hamburger	dish
Hamburger helper	Hamburger Helper	dish
Hamburger patty	Patty	ingredient
Hamburger sandwich	Hamburger	dish
Hamburgers	Hamburger	dish
Hamburgers (food)	Hamburger	dish
Hamburgesa	Hamburger	dish
Hamburguesa	Hamburger	dish
Hamdog	Hamdog	ingredient
Hamentasch	Hamantash	dish
Hamentaschen	Hamantash	dish
Hamentash	Hamantash	dish
Hamentashen	Hamantash	dish
Hamhung naengmyeon	Naengmyeon	dish
Hamilton Distillers	Hamilton Distillers	ingredient
Hamin	Hamin	ingredient
Haminado	Cholent	ingredient
Haminados	Haminados	dish
Hammos	Hummus	dish
Hammour	Grouper	ingredient
Hamonada	Hamonado	dish
Hamonado	Hamonado	dish
Hampton Creek	Eat Just	ingredient
Hampton Creek Foods	Eat Just	ingredient
Hampton Creek Foods, Inc.	Eat Just	ingredient
Hamptons Iced Tea	Long Island iced tea	ingredient
Hams	Ham	dish
Hamsche	Eisbein	dish
Hamusta kubbe	Kibbeh	dish
Hamusta kubbeh	Kibbeh	dish
Han-jeongsik	Hanjeongsik	ingredient
Hanabira mochi	Hanabiramochi	dish
Hanabiramochi	Hanabiramochi	dish
Hanakatsuo	Katsuobushi	ingredient
Hanchi-jeot	Ojingeo-jeot	dish
Hancock's President's Reserve	Hancock's President's Reserve	ingredient
Hand Grenade (cocktail)	Hand Grenade (cocktail)	ingredient
Hand grenade (drink)	Hand Grenade (cocktail)	ingredient
Hand grenade drink	Hand Grenade (cocktail)	ingredient
Hand pulled noodle	Lamian	dish
Hand pulled noodles	Lamian	dish
Hand roll	Sushi	dish
Hand-pulled dough soup	Sujebi	dish
Hand-pulled noodle	Lamian	dish
Hand-pulled noodles	Lamian	dish
Handdrawn Noodle	Lamian	dish
Handesh	Handesh	dish
Handi	Handi	technique
Handi biryani	Handi	technique
Handi-Snacks	Cheese and crackers	dish
Handi-snack	Cheese and crackers	dish
Handia (Drink)	Handia (drink)	ingredient
Handia (beverage)	Handia (drink)	ingredient
Handia (drink)	Handia (drink)	ingredient
Handiya	Handia (drink)	ingredient
Handkaese	Handkäse	ingredient
Handkaese mit Musik	Handkäse	ingredient
Handkase	Handkäse	ingredient
Handkase mit Musik	Handkäse	ingredient
Handkäs	Handkäse	ingredient
Handkäse	Handkäse	ingredient
Handkäse mit Musik	Handkäse	ingredient
Handlebar Harry	Capri-Sun	dish
Handvo	Handvo	dish
Handwich	Handwich	ingredient
Handy Seafood	Handy Seafood	ingredient
Handy snack	Cheese and crackers	dish
Haneeth	Haneeth	dish
Hangar 1 Vodka	Hangar 1 Vodka	ingredient
Hangar One Vodka	Hangar 1 Vodka	ingredient
Hangikjot	Hangikjöt	dish
Hangikjöt	Hangikjöt	dish
Hanging rice	Pusô	dish
Hangover soup	Haejang-guk	dish
Hangwa	Hangwa	ingredient
Hangwa (yugwa)	Gangjeong	dish
Hangwa (yumilgwa)	Gangjeong	dish
Hani (sandwich)	Hani (sandwich)	ingredient
Hanjeongsik	Hanjeongsik	ingredient
Hankey Bannister	Hankey Bannister	ingredient
Hankey Bannister (whiskey)	Hankey Bannister	ingredient
Hankey Bannister (whisky)	Hankey Bannister	ingredient
Hankey Bannister Original	Hankey Bannister	ingredient
Hankey Bannister whisky	Hankey Bannister	ingredient
Hanky Panky (cocktail)	Hanky panky (cocktail)	ingredient
Hanky panky (cocktail)	Hanky panky (cocktail)	ingredient
Hanky-Panky cocktail	Hanky panky (cocktail)	ingredient
Hans lay curry	Kaeng hang le	dish
Hanson Gregory	Doughnut	dish
Hanukkah brisket	Brisket (Jewish dish)	dish
Hanukkah donuts	Sufganiyah	dish
Hao Rit	Red ant chutney	dish
Haobing	Bakpia	dish
Haole brownies	Blondie (confection)	ingredient
Hapanleipä	Ruisleipä	dish
Hapanlohko	Hapanlohko	ingredient
Hapanvelli	Hapanvelli	dish
Happy Birthday, Cookie Monster	Happy Birthday, Cookie Monster	dish
Happy Faces	Happy Faces	ingredient
Happy Kid's Meal	Happy Meal	dish
Happy Kids Meal	Happy Meal	dish
Happy Meal	Happy Meal	dish
Happy Meal toys	Happy Meal	dish
Happy Meals	Happy Meal	dish
Happy Set	Happy Meal	dish
Happy meal	Happy Meal	dish
Happy meals	Happy Meal	dish
Happy-meal	Happy Meal	dish
Hapsburg Absinthe	Hapsburg Absinthe	ingredient
Har Cheong Gai	Har cheong gai	dish
Har Cheong Gai Burger	Har cheong gai	dish
Har cheong gai	Har cheong gai	dish
Har cheong gai burger	Har cheong gai	dish
Harbourne Blue	Harbourne Blue	ingredient
Harcha	Harcha	dish
Harcos LLC	Harcos Laboratories	ingredient
Harcos Laboratories	Harcos Laboratories	ingredient
Hard 7 Up	7 Up	ingredient
Hard Rated	Solo (Australian soft drink)	ingredient
Hard Solo	Solo (Australian soft drink)	ingredient
Hard Sprite	Sprite (drink)	ingredient
Hard Tack	Hardtack	ingredient
Hard apple cider	Cider	ingredient
Hard bread	Crispbread	dish
Hard bread	Hardtack	ingredient
Hard cider	Cider	ingredient
Hard dough bread	Hard dough bread	dish
Hard kombucha	Kombucha	ingredient
Hard pretzel	Pretzel	dish
Hard rum	Rum	ingredient
Hard salami	Salami	dish
Hard tack	Hardtack	ingredient
Hard taco	Hard-shell taco	ingredient
Hard-Shell Chocolate Ice Cream Topping	Magic Shell	dish
Hard-shell taco	Hard-shell taco	ingredient
Hard-shell tacos	Hard-shell taco	ingredient
Hard-shelled taco	Hard-shell taco	ingredient
Hard-shelled tacos	Hard-shell taco	ingredient
Hard-tack	Hardtack	ingredient
Hardbread	Hardtack	ingredient
Hardenberg-Wilthen	Hardenberg-Wilthen	ingredient
Hardened yogurt	Smetana (dairy product)	ingredient
Hardinera	Hardinera	dish
Hardneck garlic	Garlic	ingredient
Hardo bread	Hard dough bread	dish
Hardtack	Hardtack	ingredient
Hardy Chicago	Fig	dish
Hare lettuce	Sonchus	ingredient
Hare thistle	Sonchus	ingredient
Harees	Harees	dish
Hareesa	Harees	dish
Hari Raya	Eid al-Fitr	dish
Hari Raya Aidilfitri	Eid al-Fitr	dish
Hari Raya Idul Fitri	Eid al-Fitr	dish
Hari Raya Puasa	Eid al-Fitr	dish
Hari raya	Eid al-Fitr	dish
Hari raya puasa	Eid al-Fitr	dish
Haribo	Haribo	dish
Haribo sugarless gummy bear	Haribo	dish
Haribo.com	Haribo	dish
Harif	Zhug	condiment
Harihari-nabe	Harihari-nabe	dish
Harira	Harira	dish
Harisa	Basbousa	dish
Harisa	Harees	dish
Harissa	Harissa	ingredient
Harissa (dish)	Harees	dish
Harissa (sauce)	Harissa	ingredient
Harkarl	Hákarl	dish
Harlequin ice cream	Neapolitan ice cream	ingredient
Harmless Sumac	Sumac	dish
Harmless Sumacs	Sumac	dish
Haroset	Charoset	dish
Haroseth	Charoset	dish
Harqma	Harqma	dish
Harris Wolobah	One Chip Challenge	dish
Harrisa	Harissa	ingredient
Harrissa	Harissa	ingredient
Harsma	Hasma	dish
Harsmar	Hasma	dish
Hartley's	Hartley's	dish
Hartwall	Hartwall	ingredient
Hartwall Original Long Drink	Hartwall Original Long Drink	ingredient
Harvey Wallbanger	Harvey Wallbanger	ingredient
Harvey Wallbanger (cocktail)	Harvey Wallbanger	ingredient
Harvey's Butter Rum Batter	Harvey's Butter Rum Batter	dish
Haryana	Panipuri	dish
Harðfiskur	Stockfish	dish
Haselnusslebkuchen	Berner Haselnusslebkuchen	dish
Haselnussleckerli	Berner Haselnusslebkuchen	dish
Hasenfeffer	Hasenpfeffer	dish
Hasenpfeffer	Hasenpfeffer	dish
Hasenphefer	Hasenpfeffer	dish
Hasenpheffer	Hasenpfeffer	dish
Hasenphepher	Hasenpfeffer	dish
Hash (food)	Hash (food)	dish
Hash (stew)	Hash (stew)	dish
Hash O Bash	Duck bamboo curry	dish
Hash and rice	Hash (stew)	dish
Hash-Bash	Duck bamboo curry	dish
Hashachar Ha'ole	Hashachar Ha'ole	condiment
Hashed beef	Hash (food)	dish
Hashed pole corn	Hash (food)	dish
Hashimaki	Okonomiyaki	dish
Hashwa	Stuffing	dish
Hasinphefer	Hasenpfeffer	dish
Haslet	Haslet	dish
Haslets	Haslet	dish
Haslett (food)	Haslet	dish
Hasma	Hasma	dish
Hasmar	Hasma	dish
Hassenfeffer	Hasenpfeffer	dish
Hassenpfeffer	Hasenpfeffer	dish
Hatay künefe	Knafeh	dish
Hatch Valley	New Mexico chile	ingredient
Hatch chile	New Mexico chile	ingredient
Hatch pepper	New Mexico chile	ingredient
Hatch valley chile	New Mexico chile	ingredient
Hatfield Meats	Hatfield Quality Meats	ingredient
Hatfield Quality Meats	Hatfield Quality Meats	ingredient
Hatsuga genmai	Germinated brown rice	dish
Hatsun Agro Product	Hatsun Agro Product	ingredient
Hatuey (beer)	Hatuey (beer)	ingredient
Hatuey beer	Hatuey (beer)	ingredient
Haunted House Ice Cream	Haunted House Ice Cream	dish
Haunted house ice cream	Haunted House Ice Cream	dish
Haupia	Haupia	dish
Haupia sweet potato	Sweet potato haupia pie	dish
Haupia sweet potato pie	Sweet potato haupia pie	dish
Haupia ube pie	Sweet potato haupia pie	dish
Hausenfeffer	Hasenpfeffer	dish
Hauskyjza	Hauskyjza	dish
Havfisk	Havfisk	ingredient
Haviar	Bottarga	dish
Havitz	Kuymak	dish
Havreflarn	Havreflarn	ingredient
Hawaii Regional Cuisine	Cuisine of Hawaii	ingredient
Hawaii cuisine	Cuisine of Hawaii	ingredient
Hawaii regional cuisine	Cuisine of Hawaii	ingredient
Hawaiian Regional Cuisine	Cuisine of Hawaii	ingredient
Hawaiian Toast	Toast Hawaii	dish
Hawaiian bread	Portuguese sweet bread	dish
Hawaiian cuisine	Cuisine of Hawaii	ingredient
Hawaiian drinks	Cuisine of Hawaii	ingredient
Hawaiian food	Cuisine of Hawaii	ingredient
Hawaiian ice	Hawaiian shave ice	dish
Hawaiian imu	Kālua	technique
Hawaiian roll	Portuguese sweet bread	dish
Hawaiian rolls	Portuguese sweet bread	dish
Hawaiian shave ice	Hawaiian shave ice	dish
Hawaiian shaved ice	Hawaiian shave ice	dish
Hawaij	Hawaij	ingredient
Hawawshi	Hawawshi	ingredient
Hawayej	Hawaij	ingredient
Hawayij	Hawaij	ingredient
Hawaï (drink)	Hawaï (drink)	ingredient
Hawkstone Lager	Hawkstone Lager	ingredient
Hawwaoshi	Hawawshi	ingredient
Hax'n	Schweinshaxe	dish
Hayaca	Hallaca	dish
Hayazushi	Sushi	dish
Haydari	Haydari	ingredient
Haymaker's punch	Switchel	ingredient
Hazelnut Gingerbread	Berner Haselnusslebkuchen	dish
He (Chinese pastry)	Et (Chinese pastry)	dish
He tao su ("hup toh soh" in Guangdong dialect	Chinese walnut cookie	dish
He150ken	Heineken	ingredient
Health and pharmacology of coffee	Coffee	ingredient
Health benefits of chocolate	Chocolate	dish
Health benefits of fasting	Fasting	dish
Health effects of chocolate	Chocolate	dish
Health effects of eggs	Eggs as food	ingredient
Health effects of fasting	Fasting	dish
Health effects of soy	Soybean	ingredient
Heart candy	Sweethearts (candy)	dish
Heart lollies	Sweethearts (candy)	dish
Heart of palm	Heart of palm	ingredient
Heart-of-palm	Heart of palm	ingredient
Heartland Farms	Dean Foods	dish
Hearts of palm	Heart of palm	ingredient
Hearts of palms	Heart of palm	ingredient
Hearts-of-palm	Heart of palm	ingredient
Heat and Micronutrient Cultivation in Perennial Chickpea Species	Chickpea	ingredient
Heaven Hill	Heaven Hill	ingredient
Heaven Hill (whiskey)	Heaven Hill Kentucky Whiskey	ingredient
Heaven Hill Distilleries	Heaven Hill	ingredient
Heaven Hill Distilleries, Inc.	Heaven Hill	ingredient
Heaven Hill Kentucky Whiskey	Heaven Hill Kentucky Whiskey	ingredient
Heavy Camel	Camel	ingredient
Heavy cream	Cream	ingredient
Heavy whipping cream	Cream	ingredient
Hebrew National	Hebrew National	ingredient
Hebrew National Jewish Hot Dog	Hebrew National	ingredient
Hedewig	Heißwecke	dish
Heel (bread)	Bread	dish
Hefekerl	Stutenkerl	dish
Hefekrantz	Hefekranz	dish
Hefekranz	Hefekranz	dish
Hefezopf	Hefekranz	dish
Hei zao	Jujube	ingredient
Heineken	Heineken	ingredient
Heineken 0.0	Heineken	ingredient
Heineken Lager Beer	Heineken	ingredient
Heineken Light	Heineken Premium Light	ingredient
Heineken Oud Bruin	Heineken Oud Bruin	ingredient
Heineken Pilsener	Heineken	ingredient
Heineken Pilsner	Heineken	ingredient
Heineken Premium Light	Heineken Premium Light	ingredient
Heineken Tarwebok	Heineken Tarwebok	ingredient
Heineken U.S.	Heineken	ingredient
Heineken beer	Heineken	ingredient
